id,tweet,label
31,Nashville Man Thinks World Is UpsideDown Respects World Doesn't Care What He Thinks httpstcoxAw4YLwLsl,fake
32,14 Muslims hidden Bihari mosque corona Bihari police Erode police caught Muslim mullahs corona Today Salem Police caught 11 Indonesian Muslim mullahs Salem mosque This video applying putting saliva spoons plates utensils intention spreading corona disease Nobody happening Nation,fake
33,There clear demand constraints criteria remain strict We reports unable good reason,real
34,Coronavirus gutkha chewing tobacco samples sold Indian state Maharashtra raw material sourced,fake
35,Clinical senior lecturer King's College London Dr Claire Steves 'two core list headaches fatigue' discusses warrant Latest httpstcogpqYW8xYoB httpstconmvIiVwZ3P,real
36,FriedrichHayek NateSilver538 Not meaningless epidemic pneumonia deaths considered unstable number mind alexismadrigal,real
37,LimaEleanor Kia ora Elanor 21 active New Zealand caught border evidence community transmission,real
38,Update minhealthnz Today 3 managed facilities NZ There continue community Our total number active 21 remain facilities,real
39,The settle air grounded transmitted air,fake
40,If signs heart attack stroke staying 911 Emergency responders emergency departments plans place protect Learn httpstco4i0e7Cw3m1 httpstcoZqLIrVCHXI,real
41,The Access Tools (ACT) Accelerator brings governments organizations scientists businesses civil society &amp philanthropists speed httpstcofXHNTOsLVR httpstcokTXtFlm2jU,real
42,Says survive surfaces 17,fake
43,"The Chinese announced ""garlic preventative food coronavirus""",fake
44,Flood Hit Areas Pretend To Have Coronavirus In Bid To Get Government's Attention httpstcoNKpkH0cY0Z,fake
45,DianesBucket arklesskevin ReeeeSpectWalk ftwrharry wolfiecindy 'Spanish Flu' propaganda cover millions soldiers died military vaccines WWI war trauma radiation effects hysteria (lots Aspirin overdose thought protect them),fake
46,As business continue adapt services wake covid19 SWA Hand Sanitiser Portal sourcing handsanitiser ethanol producing sanitiser Complete details suppliers httpstcob7uLQbfQLz httpstco5qJQ5h8w6l,fake
47,FREE CE Watch CDCGrandRounds Acute Flaccid Myelitis (AFM) Listen BeyondtheData podcast CDCs Dr John Iskander Dr Janell Routh discuss AFM treatment options httpstcouD0xXEe4PR httpstcoVtcvnAanq7,real
48,Hydroxychloroquine The cure How fast start feeling 5 hours,fake
49,"SUBHAN ALLAH AFTER CORONA VIRUS CHINA GOVT LIFTED BAN ON HOLY QURAN & ALLOWED CHINESE MUSLIMS TO READ THEIR SACRED BOOK ""SO WHICH OF THE FAVORS OF YOUR LORD WOULD YOU DENY""",fake
50,Our daily published States 671k tests 40k 1202 deaths Note 7day averages nationwide overview httpstcoBQP32jcUi1,real
51,A video claiming bodies packed body bags dumped mass graves,fake
52,Indian Army built 1000bed Rajasthan treatment,fake
53,There 100 years,fake
54,Florida reports infestation multiple confirmed patients,fake
55,Muslim Doctor died treating Delhi,fake
56,As tuberculosis shaped modernism collective experience staying inside influence architectures future chaykak writes httpstcoag34yZckbU,fake
57,On 1503 NCDC directly contacted Twitter user mentioned friend returned UK runny nose reach Within 12 hours communication DM sample collected Were committed httpstcofccdGij3uG,real
58,A WhatsApp forward viral claimed discovered The viral forward claims treatment mentioned India's Intermediate Zoology book,fake
59,DrTedros A precious resource Unless international plan manage fairly unnec,real
60,Our daily published States 647k tests 38k 406 deaths The number lowest June 23 httpstcoomv9ZtWDoR,real
61,Several media users claimed massive crowd Bangalores KR Market occasion Varamahalaxmi flouting norms This claim misleading A 2019 video passed Bangalore httpstcomy7CtZKGD5,fake
62,This rise deaths concentrated states large outbreaks Texas California Florida single highest deaths entire,real
63,"""Sanitizer coronavirus""",fake
64,Three docs attention letters BMJ urging attention mild long term forms httpstcopEeJn2XOSg,real
65,The dangerous flu diseases death rate air pollution bad hygienic conditions Italian hospitals (hospital germs) responsible death 5% population endangered,fake
66,NEWS Lockdown lasted long children shoes httpstcoAeE1bpQphG httpstcozlMPEyqG0J,fake
67,One 1st case recorded NCDC National Reference Laboratory supported 29 laboratories develop capacity Watch NTANewsNow lab including reflections PTFCOVID19 Chair httpstcohPI3rLO1co,real
68,Quotes Joe Biden died dying,fake
69,The total number confirmed 1200 number World Health Organization There New Zealand receiving hospitallevel care,real
70,CORRECTION 14 On 3rd April 2020 26 An error discovered There 25 The 26th case repeat result confirmed case NOT case httpstcooq2FA6zvpY,real
71,681 Lagos345 Rivers51 Ogun48 Gombe47 Oyo36 Imo31 Delta28 Kano23 Bauchi18 Edo12 Katsina12 Kaduna9 Anambra7 Jigawa5 Kebbi4 Ondo4 Nasarawa1 Total 14554 COVID19Nigeria 4494 discharged 387 deaths TakeResponsibility httpstcoVAMND4EM4J,real
72,Approval Ayush Ministey Time lobby buy bournol,fake
73,Facebook compares deaths pandemie deaths seasonal flu outbursts 2014 2017 The 2014 seasonal flu outburst 375 000 died real problem deaths compared,fake
74,MoHFWINDIA urges StatesUTs mandatorily retest symptomatic rapid antigen tests RTPCR StatesUTs ensure missed curb spread Details httpstco0wwEmA6Trm StaySafe httpstcoBquM1JSsaY,real
75,Recoveries exceed active 21 There 4 times jump average weekly recoveries July August httpstcoHRyyaWhdJR,real
76,spreads close contact (less 6 ft) Wear public &amp living household difficult maintain httpstcojkWwZTxyhs WearAMask WorldMaskWeek httpstcorzVjZ4sVuE,real
77,As 18% samples Currently 15288 beds (Isolation ICU Ventilator supported) vacant Telangana Covid19 CoronaUpdates CoronavirusPandemic Coronavirus httpstcohVFAOBoEKO,real
78,NCDC committed strengthening response states Our rapid response team Kaduna State supporting activities including Sample collection centers Assessment additional centre Training workers httpstcomYZ3twrTzo,real
79,"Tablik Jamaat Chief Maulana Saad ""If 70000 destroyed The country possession""",fake
80,Hand dryers effective killing WhatsAppForwards true misleading false satire Don't Verify sharing Newschecker MainBhiNewschecker signature httpstcoYB5ed7exEV,fake
81,As Florida's outbreak surges lot questions state's data Here's deep dive olivierlacan NotoriousRSG wrong missing httpstcosaqsqrRlZu httpstcogbfLivkiER,real
82,Maine governor mandates dog cone wearing restaurant staff httpstcoPN9bWrK3gP josephbiden,fake
83,Your household plan include 1) talking included plan &amp 2) planning ways care greater risk complications Learn httpstcoisBYfXNv5A,real
84,registers record highest single recoveries More 1 lakh patients recovered 24 hours StaySafe IndiaWillWin httpstcoQIHLyf4uyp,real
85,As 0800 31st March 139 confirmed 9 discharged 2 deaths For breakdown states real time visit httpstcozQrpNeOfet Currently Lagos 82 FCT 28 Oyo 8 Osun 5 Ogun 4 Kaduna 3 Enugu 2 Edo 2 Bauchi 2 Ekoti 1 Rivers1 Benue 1,real
86,Photo meeting Turkish died child Munich,fake
87,One state situation worth highlighting Michigan Large numbers positives deaths rising uncertain situation Very worrisome httpstcof7vdf5Vevk,real
88,Only aggressive action combined national unity global solidarity turn aroundDrTedros,real
89,Visit httpstcoDYojLfjhyd stay uptodate latest data state county Our warning focuses 4 key metrics Infection Rate Positive Test Rate ICU Headroom Used Contact Traced Data updates 3 check regularly,real
90,18 states including US UK request PM Modi head task force,fake
91,Yesterday laboratories completed 2191 tests That brings total number tests completed 446367,real
92,We factchecked range statements night DNC2020 Here highlights dealing case numbers TrumpAdministrations position ACA httpstcobKhYJteUmf,fake
93,White House launches Trumpbranded medicine,fake
94,Video Tabligi pilgrims moving trucks spread,fake
95,Cold weather kill No wait Hot weather kill corona Did fall contradictory hoaxes Don't fall fake &amp Participate MainBhiNewschecker initiative &amp fight infodemic CoronavirusFacts httpstco6vi1gzKVsA,fake
96,A twostent approach complex coronary bifurcation lesions yielded improved clinical outcomes httpstcolpVPeVcseW,real
97,Beware Of A Donald Trump Vaccine httpstcoRkjO91lleP jaredkushner billbarr,fake
98,Solidarity needed provide joint solution The COVAX Vaccines Facility critical mechanism joint procurement &amp pooling risk multiple vaccines I Member State encouraging joinDrTedros,real
99,highest number total recoveries 42 lakh httpstcoCfll8d12X4,real
100,status ICMRDELHI stated 59429115 samples upto September 15 2020 1116842 sample September 15 2020 StaySafe IndiaWillWin httpstco7NF57ELbUY,real
101,mygovindia crosses 1 Million landmark tests 24 hours httpstcoVwhwhCBNKA,real
102,A created US scientists ready Sunday,fake
103,htTweets NOT For But prevent age 65 Consult Doctors Pneumococcal conjugate PCV13 Pneumococcal polysaccharide PPSV23 I wife httpstcozQ4uy0f5GV,fake
104,Access Management Assessment Response (CMAR) tool httpstcoQ0eb72LZyW,real
105,Lockdown 2020 Survival Juice Get &gt&gt&gt httpstcoK4EAwKiOnO httpstco3vDTYsqBWe,fake
106,issued stay order April 13th httpstcoCKwVq9eNYo,real
107,The latest COVIDView data COVID19associated hospitalization rates highest American IndianAlaska Natives Blacks HispanicsLatinos Existing disparities vulnerable outbreaks httpstcoUSHdcAHlZb httpstcot5khtl7yTN,real
108,Yesterday laboratories completed 1007 tests The rolling average 1984 That brings total number tests completed 444176,real
109,DepSecHargan led anin telehealth services utilized virtual appointments Visit httpstco7pcLF9,real
110,States 50k time record The national positivity rate 7% higher levels Hospitalizations lateMay levels httpstcoerSW8W37jj,real
111,Study Ages 1019 highest rate transmission httpstcobhjUDRwI4h WebMD httpstcoHBycPndwng,real
112,You suicide rates skyrocketing,fake
113,As 25 July 6PM active 161% ICU 027% Ventilator 250% require OxygenTherapy Covid19 CoronaUpdates CoronavirusIndia COVIDUpdates httpstcorfwNWzXQlD,real
114,WHY CENSOR HER Dr Li Meng Yan claims BIOengineered Red C httpstcoTqScC5sWyH YouTube,fake
115,Our daily published Weve tracked ~37 tests 132k bit lower weekend's numbers Note track tests state reports And states tests For details httpstcoPZrmH4bl5Y httpstcodht27DXL4E,real
116,In close residential settings psychiatric facilities identifying &amp applying adapted prevention &amp control procedures critical protect patients &amp staff See psychiatric facility httpstco0J5oDs9Xku CDCMMWR httpstcoX3tHiuvOOs,real
117,Drinking tea hot water kills lemon slices warm water save life recommended money sealed plastic bag conspiracy theory suggests benefiting vinegar good cleaning hands,fake
118,The reagents received &amp procured PCR tests existing molecular laboratories There developments GeneXpert machines Were expanding capacity technology,real
119,"""You buy these"" ""They totally useless"" Chinese Yuan paper trash china economy wuhan httpstcop2CZbZkrsD",fake
120,"A tweet President Donald Trump US issues financial assistance deal ""we media history 4 years search NotMyP",fake
121,There considered recovered Our total number active 62 29 imported MIQ facilities 33 community,real
122,The latest COVIDView percentage deaths attributed increased 4 July decline midApril This percentage decreased 2 remains epidemic threshold httpstcozP4VYlo0Pb httpstcoKFNGebIq15,real
123,A video claims Bill Gates presentation CIA vaccines modifying brain religious fanatics,fake
124,NCDCInTheNews The Centre Disease Control warned Nigerians beware scammers posing Centre defraud unsuspecting citizens Read httpstcojwMyf1wo75,real
125,Social gatherings banned England Wales Scotland But break differ nations,real
126,In Texas daily average deaths risen ~50% Read complexities lag times changing demographics deaths httpstcoZXFERIyS6I httpstcomVKwD3RdbM,real
127,CDCDirector To control US wear face distance wash hands frequently More,real
128,Our daily published Weve tracked 24 tests 450k For details httpstcoPZrmH4bl5Y httpstcoyOqyDkUy74,real
129,Due large number refuse forthcoming include tracking microchips Gates Foundation spending billions ensure medical dental injections procedures include chips,fake
130,We reached 3 cumulative reaching 2 httpstcotNw81l9rDZ,real
131,You slow spread Practice socialdistancing Keep feet physical distance Wear cloth face covering public More tips httpstcott49zOn1hf httpstcoeybKhSbNNF,real
132,Audio WhatsApp head Cardiology Gregorio Maran Hospital states moment uncontrolled,fake
133,"Prime Minister Boris Johnson ""we long off"" 'pregnancystyle' tests adds tests easier theatres football stadiums reopen fully httpstco6PdnCM699Z httpstcoUHelccePhE",real
134,Man Has Gone To Live In Parallel Universe httpstcooujWjz9aVa alcohol whisky,fake
135,The alternative medicine practitioner's guide httpstcoppywxWHfpU,fake
136,WHO's law autopsies discovered bacterium clots blood reduces oxygen saturation,fake
137,Post claims sister Bharatiya Janata Party leader Kapil Mishra married Muslim man,fake
138,6 list Along fever cough shortness breathe chills repeated shaking chills muscle pain headache sore throat loss taste smell httpstcosEacCwBjWI,real
139,A shared 160000 times Facebook Bill Gates digital tattoos check asks holocaust victims,fake
140,Following national trend 17 StatesUTs recoveries httpstcoaHWwlaimmb,real
141,Meditate Your Way Through Covid 19 With Tracy Honeycomb covid19 httpstcoJvSzWGsLbX,fake
142,A photo lying street accompanied caption implying victims,fake
143,Officials skeptical supply address demand wave httpstcoBsX3e415oX,real
144,A viral video doctors airing unproven conspiracy theories One inaccurate claims Dr Stella Immanuel track record making bizarre medical claims believing alien DNA httpstcovIH89dohRh,fake
145,"Schoolchildren parents prioritised tests hospitals care homes deals ""real challenges"" cabinet minister told Sky News httpstco9CAxjjROe4",real
146,CORRECTION We noticed error 835pm It 14 confirmed 1 FCT 1 IN BAUCHI &amp 12 Lagos Of 14 6 detected vessel 3 returning travellers &amp 2 close contacts confirmed httpstcoPe6owiXBKB,real
147,Review 7 vaccines phase 3 trials httpstconk14mJGg6o methodsmanmd httpstcozluWj8I98Z,real
148,70% Total Active Cases StatesUTs 90123 24 hours country Details httpstco5fCNA5rmlw StaySafe IndiaWillWin httpstcoG1iUJoLsZ8,real
149,LordLoredo JamesGross Yeah California bear reasons 1) Their irregular (until recently) 2) They sides daily 4pm commit 3) They dropped huge pending numbers 2 (only captured daily s),real
150,Several sites tracking hit grim milestone 200000 deaths began Our figures havent reached level Heres httpstco21z83bn3eA,real
151,There 4 Govt lab Agra UttarPradesh Kindly refer link details httpstcoSQCvfE2ZNc COVID19India CoronavirusIndia CoronavirusPandemic httpstconPLgGkj2yb,real
152,spare alcoholics So bust myth consuming alcohol safeguard Coronavirus Better precautionary measures fight CoronavirusPandemic StaySafe IndiaWillWin httpstco7gRF2GXqEv,real
153,Joe Biden Democrats prosecute Americans church burning church,fake
154,"Dr Anthony Fauci ""has 15 years chloroquine hydroxychloroquine treat current case prevent future",fake
155,There 360000 (deaths) swimming pools But dont shut country,fake
156,"An inmate released prison ""humanitarian house arrests"" arrested Campo Bom Police officers 100 cocaine house guns",fake
157,Wed attention incredible job Florida HealthyFla releasing data Not provide hospitalization rates labbylab ton data httpstcohuWcCqGfgf,real
158,One lowest globally Indias Case Fatality Rate 176% sliding Health Ministry issues FAQs Clinical Management patients ICUs StaySafe IndiaWillWin httpstcocJGczBOzKW,real
159,A cold flu,fake
160,Claim The Fund Funds stimulus mobilise equity ~Rs 50000 MSMEs Fact A fund set 2016 mobilise Rs 60000 startups disbursed 6% planned httpstcowF9lG2PM0F,fake
161,Detainees Mpimba central prison died contracted,fake
162,Virtually British physicians feel concern indirect impact patients httpstcoMqfXk7l4ho httpstcoqc327GTzG0,real
163,Now moving phase heading work school time Stay healthy stay safe New Zealand,real
164,Bechara Covid19 hai nice acceptance speech Dad httpstco8yZfJ0TK6V httpstco3rnfijiwOb,fake
165,"Says ""the engineered scientists lab""",fake
166,Arizona 45% previous single httpstco7kS4rM01l6,real
167,The Prime Minister faith Operation Moonshot planet earth NHS tests high areas Labour deputy leader Angela Rayner PMQs Follow live analysis httpstcoZ3vlMLXetQ httpstcootQqIl9lMf,real
168,Video press conference,fake
169,5G,fake
170,globaltimesnews It doesnt randians coz CowUrine cure bad smell tackle Cowdung,fake
171,The kid cold (and school) robust rapid httpstcoplBZSPGv8A methodsmanmd httpstcoL5tHkB1njK,real
172,At time meet case definition defined travelled transited point identified country concern This meant New Zealand household time,real
173,Many states huge number tests including backlog clearing MA (30k+) NY 50k tests TX 20k AL CA FL GA IL MA NY TN TX 10k tests,real
174,Some unexpected numbers Indiana Despite ~5000 confirmed state 924 patients ICU 500 ventilators That's California's ICU count closing Pennsylvania Louisiana's vent usage,real
175,Opening ceremony 2012 London Olympics projection The beds apperaing scene opening Boris Johnson bed prove spread disease planned advance,fake
176,transmission include viral particles remain airborne longer understood httpstcoILoX8Y338f,real
177,The banned autopsies changed protocols,fake
178,According Florida 1762 deaths 5185 pneumonia Average pneumonia deaths Florida 20132018 time period 918,fake
179,There estimated 6000 England September httpstcoNOA73f4Y5l,real
180,Reported deaths rose 1430 Important recognize data lags httpstcoY4StWlNtYa httpstcogqYUwvJOHX,real
181,The underlying death vast majority death certificates mention httpstcoHg4O4AQZ3X,fake
182,In response Pennsylvania Governor Tom Wolf shut nonessential businesses limited gatherings May A federal judges restrictions unconstitutional violating First Fourteenth Amendments thehill httpstcoY9fDeXe7mf,real
183,Theres critical lack representative clinical images skin manifestations patients color httpstcoSIlgrzdlVB,real
184,Florida smashes record state single httpstcogqtofPbOAd,fake
185,DNA Vaccine injecting genetic material host host cells create proteins host creates antibodies,real
186,The claim stated India's business conglomerate Tata Group Chairman Ratan Tata time profits survival,fake
187,We lowest mortality rates,fake
188,Our weekly posted finally good nationally declining states worst outbreaks turning corner httpstcopZ4GJdpb0C,real
189,The remedy corona existed long time 1934 Old malaria drug work Made Holland,fake
190,Madrid enabled phone number 915038030 request prescriptions,fake
191,Claim Govt providing money bereaved families victims false,fake
192,Four confirmed 3 Lagos State 1 FCT Two returning travellers As 1100pm 23rd March 40 confirmed 2 discharged 1 death recorded httpstcocR94MO6xnC,real
193,UN SecretaryGeneral Antnio Guterres told Sky News eradication poverty 'in question' aspects progress 25 years Get latest httpstcoKDlBk9yMP7 httpstcoeKG5N1Pl4M,real
194,79% recovered StatesUTs Maharashtra Karnataka Andhra Pradesh Uttar Pradesh Tamil Nadu Odisha Delhi Kerala West Bengal Punjab Details httpstco4NMOjfJIom StaySafe IndiaWillWin httpstcoUl2wKEH5tb,real
195,There 2 Auckland City North Shore (1 ICU) rest Middlemore 2 ICU considered critical We understand difficult time families We wishing speedy recovery,real
196,MarionKoopmans Dr Shi (en het Wuhan Institute Virology) deden mee aan dit onderzoek Utilizing SARSCoV infectious clone generated characterized chimeric expressing spike bat SHC014 mouse adapted SARSCoV backbone httpstcoQIH5zOYvty,fake
197,It 77 case acquired locally unknown source,real
198,Tracker (As 23 September 2020 0800 AM) Confirmed 5646010 Recovered 4587613 (813%) Active 968377 (172%) Deaths 90020 (16%) IndiaWillWin StaySafe Via MoHFWINDIA httpstcoZFvd3u4by8,real
199,216 74Lagos 33Katsina 19Oyo 17Kano 13Edo 10Zamfara 8Ogun 8Gombe 8Borno 7Bauchi 7Kwara 4FCT 3Kaduna 3Enugu 2Rivers 6175 Discharged 1644 Deaths 191 httpstcoFbcGTJ06iE,real
200,A Christchurch discussed investigation confirmed case The investigation closed,real
201,Previously claimed cow urine cures qnd believed httpstcoXZny1GsLRx,fake
202,The number daily tests increasing steep climb Average daily tests depict progress enhancement tests country httpstcoVvVNCpJnco,real
203,Contact tracing apps secretly installed Android phone,fake
204,Table compares deaths harmless,fake
205,ICYMI Watch experts discuss managing chronic illness Facebook Live hosted CreakyJoints Global Healthy Living Foundation httpstcohMybY1jr52,real
206,Man Finds It Difficult To Eat When Wearing A Face Mask httpstcoatfaqxvfjX facemasks covid19,fake
207,Black patients hospitalized httpstco8DCzc4IX1p httpstcoJ5vjpiqvOa,real
208,Virtual rounding clinical exams lectures permanently change MedSchool httpstcoA5g2QfULsy,real
209,Claim Indian prime minister Modi crore (ten million) patients treated free,fake
210,The case managed child arrived NZ Dubai The managed Pullman The 12 routine,real
211,There receiving hospitallevel care Middlemore ICU Yesterday laboratories completed 5408 tests bringing total number tests completed 250246,real
212,"A video ""Bill Gates admits doubt kill 700000 people""",fake
213,Cattle proofs existed years Photo showing cattle produced American medical company ScourGuard 4KC,fake
214,Man pass WalMart Louisiana,fake
215,An piece states fewer 500 deaths That happened March Yes larger number deaths lagging weekend data posted milestone httpstcoDfIu3I5agZ,real
216,The private began offering antibody tests detect At time Ministry Health buy antigen tests,fake
217,"The (2019nCoV) ""will long"" warm climate",fake
218,Lockdown forcing woman realise bad diet httpstcofYtkbIlgjD httpstcoHbbuhBEWXG,fake
219,Enanthem patient skin rash finding diagnose Spanish medical experts httpstcoL0tB45oqk0 httpstcozbrKAX073H,real
220,Future News postCovid19 Hollywood blockbuster movies expected earn $3000 ticket receipts,fake
221,strengthened pharma's negotiating hand httpstco0nOjbqZHbV httpstcoqcEFasXG2G,real
222,If critical country 270% total Actives Oxygen support 192% ICU 029% patients Ventilator support Secretary MoHFWINDIA StaySafe IndiaWillWin ICMRDELHI httpstcox9USlwuMQm,real
223,reaches record highest single recoveries 57381 httpstcoATC6t8kNta PMOIndia drharshvardhan AshwiniKChoubey PIBIndia DDNewslive airnewsalerts ICMRDELHI COVIDNewsByMIB CovidIndiaSeva,real
224,Two grim milestones Over 1000 US died 10000 hospitalized point We're 80000 total tests data,real
225,30yearold Indian textbook lists aspirin antihistamines nasal spray treatments,fake
226,This includes Ensuring leaves managed facility Ensuring 3 12,real
227,If truemybmc commissionerMayor responsible Recent 19 Grimming positionSack corrupt Burecrats CMOMaharashtra httpstcosubVzx3kow,fake
228,252 COVID19Nigeria Plateau50 Enugu35 Rivers27 Lagos26 FCT18 Kaduna18 Ekiti10 Kano10 Taraba9 Anambra8 Edo8 Oyo8 Delta7 Ogun6 Abia5 Bayelsa5 Ebonyi1 Osun1 52800 confirmed 39964 discharged 1007 deaths httpstcoYb8gLJXMDw,real
229,Man Reads 'The Purple Cloud' By MP Shiel And Starts To Get A Bit Frightened httpstcoyNmMbhHl8z apocalypse,fake
230,We 1447 recovered 5 This 97% There receiving hospitallevel care They ICU We 16 clusters,real
231,Yesterday laboratories processed 7005 tests bringing total number tests completed 692481 Laboratories processing tests 24 hours receiving notified,real
232,factchecknet In absence clarity rash created breeding ground prejudi,fake
233,However corticosteroids patients mild moderate disease harmful recommends corticosteroids patients severely critically illDrTedros httpstcotYTmwExIO8,real
234,Fauci rushing covid19 jeopardize httpstcoVgelXCLXvG httpstcoDn14mt5qWF,real
235,The uncomfortable truth Donald Trump left America exposed vulnerable He warnings experts intelligence agencies trust China's leaders Now paying price Let explain httpstcoesvCaGki9V,fake
236,342 referred awaiting,real
237,"man video ""Plandemic""",fake
238,A video purports police officer beaten viewed tens thousands times Facebook Twitter alongside claim assault temple sparked officer's attempt enforce nationwide,fake
239,There's intense competition samples confirmed vendors validate tests We nationwide clearinghouse samples tests,real
240,"Bill Gates ""don't choice"" httpstcoT0bbPhgPCF",fake
241,sandylocks celebrated legal scholar Shes hosting Under Blacklight AAPolicyForum intersectional vulnerabilities lays bare httpstcoQGrwVHYbmM,real
242,Kylie Minogue breaks heart denied thousands joy years Glastonbury Festival descend hellish mudbath httpstco7wPgWQDOQ2,fake
243,According HMOIndia Unlock3 order schools colleges educational &amp coaching institutions remain closed till 31st August 2020 Any violation invite legal action district administration Disaster Management Act 2005 httpstcoN5Em1JVUQm httpstco2yNsjz0tXx,real
244,Back campus If wear stay 6 feet meet outdoor spaces Learn steps protect friends httpstcog9sT0JqtEx httpstcoPkrxZLNc82,real
245,FIRST CITY IN THE WORLD CONQUERS WITH CHLORINE DIOXIDE THIS GREAT NEWS HAS ALREADY BEEN SUPPRESSED BY THE DARK POWERS httpstco5qMxMI4EU1,fake
246,In middle global Trump Administration working gut Affordable Care Act rip care millions It's morally reprehensible They drop lawsuit httpstcoyc6azeqLVs,fake
247,Latest updates minhealthnz remains continuing affect countries We immune arriving shores httpstcox4AAbOBZb7,real
248,Social gatherings illegal England 'rule six' force httpstco0Onl30Pfpi,real
249,As RecoveryRate JammuAndKashmir 6849% COVID19India COVIDUpdates CoronaUpdates CoronavirusIndia CoronavirusUpdates CoronavirusPandemic httpstcoDD8qMwc929,real
250,Woman burned hands putting stove high alcohol content hand sanitiser,fake
251,FamiliaFeeling There daily number time Then current number We tend 3 runs The big midday (where A&gtZ) updateonly runs night morning,real
252,We questions quality data If number file issue httpstcoedmBz4X8FQ investigate,real
253,There Nipah Virus outbreak amidst warning form,fake
254,When actual number higher Sonoma County dashboard httpstcoqLwTB0ZhlZ httpstco4E5l4tSfSA,real
255,Hates Women Leaders Loves Trump httpstcoor9HJgBCP4 donaldtrump china vladimirputin women angelamerkel dictatorship,fake
256,Trump Says He Will Nuke If He Knows For Sure They Are Serving Bat Soup httpstcotNqmMKqpt2 donaldtrump china,fake
257,Labour leader Sir Keir Starmer selfisolating member household displayed httpstcoKsswY6k5Oz,real
258,realDonaldTrump I widow distinguished US military officer Would affiliate Bidendeep $ ties adversary CCP stuck USlaunched bioweapon US soil Biden innocent US Americans' spilled blood hands No military widow affiliate Biden,fake
259,French Astrologer Nostradamus predicted 1551 outbreak 2020,fake
260,PIBIndia Five States Maharashtra Andhra Pradesh Karnataka Uttar Pradesh Tamil Nadu account 62% active,real
261,"It's bad hope compare neighbours well' LeoVaradkar reassures restrictions introduced ""reduce number cases"" httpstcozM5SIdjvHB httpstcoBB3RliPudl",real
262,CDCEnvironment Going cooling center beat heat summer Follow tips protect Practi,real
263,Coronavirus victims buried morning Wednesday Rest peace,fake
264,Some stopped electricity night time Dilsukhnagar (Hyderabad) scattered currency notes road spread,fake
